"RSRVR_CD","MSRN_DT","LOLE","CNL_WALE","PONDAGE","WRERATES","INFLOW","SPLY_AMNT","GRS_OTFL","GTE_OTFL","ELGE_OTFL","SPLW_OTFL","ETC_OTFL","RSRVR_DRAR_AVG_THEX"
"저수지코드","계측일시","저수위","방수로수위","저수량","저수율","유입량","공급량","총방류량","게이트방류량","발전방류량","여수로방류량","기타방류량","저수지유역평균우량"
"4782010013","2024111110","131.07","","250350","83.5","","","","","","","",""
"4782010061","2024111110","104.0933333333","","296986.12","76.8","","","","","","","",""
"4782010078","2024111110","204.195","","663031.75","79.4","","","","","","","",""
"4782010080","2024111110","112.47","","578734.1","99.6","","","","","","","",""
"4782010128","2024111110","260.78","","901671.6","66.8","","","","","","","",""
"4782010133","2024111110","243.36","","578037.4","67","","","","","","","",""
"4782010138","2024111110","132.23","","367162.64","87.9","","","","","","","",""
"4782010150","2024111110","139.8366666667","","459101.8666666667","78.6","","","","","","","",""
"4782010209","2024111110","192.6383333333","","554749.7","79.4","","","","","","","",""
"4782010210","2024111110","169.86","","1454717.7","99.6","","","","","","","",""
"4782010211","2024111110","188.08","","421042.4","56.4","","","","","","","",""
"4782010480","2024111110","139.97","","5281575.42","65.7","","","","","","","",""
"4783010005","2024111110","105.43","","548811","71.7","","","","","","","",""
"4783010020","2024111110","159.7033333333","","471720.8","57","","","","","","","",""
"4783010029","2024111110","167.3766666667","","1420338.0433333332","29.5","","","","","","","",""
"4783010035","2024111110","181.9966666667","","126630.1666666667","43.8","","","","","","","",""
"4783010080","2024111110","48.37","","153874.5","78.9","","","","","","","",""
"4783010103","2024111110","115.07","","86124.6","35","","","","","","","",""
"4783010145","2024111110","94.5683333333","","479501.0766666667","57.1","","","","","","","",""
"4784010100","2024111110","178.91","","18522700","65.8","","","","","","","",""
"4784010138","2024111110","146.26","","3062276.46","67.8","","","","","","","",""
"4784010141","2024111110","82.15","","472919.58","89.7","","","","","","","",""
"4784010168","2024111110","175.43","","908544","71","","","","","","","",""
"4784010173","2024111110","93.07","","482968.48","87","","","","","","","",""
"4784010174","2024111110","167.2483333333","","862499.3333333333","64.6","","","","","","","",""
"4785010003","2024111110","62.28","","742236.324","100.9","","","","","","","",""
