"DST_RSK_DSTRCT_MNG_NO","DST_RSK_DSTRCT_NM","DST_RSK_DSTRCT_GRD_CD","DST_RSK_DSTRCT_TYPE_CD","DST_RSK_DSTRCT_DTL_TYPE_CD","DST_RSK_DSTRCT_RGN_CD","DST_RSK_DSTRCT_HONU","MAO_CD","MAOF_NM","FCLT_NM","FCLTY_GRD_CD","FCLTY_GRD_NM","DST_WASY_CD","WASY_NM","DSGN_YMD","DSGN_RSN","RMV_YMD","RMV_RSN","DAM_INTV","DAM_YMD_RNFL","DAM_HR_RNFL","PRPL_MTTR_CD","WRTR_OGDP_JBGD_CN","IDFR_OGDP_JBGD_CN","FCLT_MNG_INST_NM","MNG_RBPRSN_OGDP_JBGD_CN","MNG_CTZN_JBGD_NM","LAST_MDFCN_DT","APLY_YN","DSGN_AREA","APLY_YR","APLY_YMD","HAB_NOHO","HAB_NOPE","BSC_PLAN_NM","FNDG_YMD","ACT_LMT_MUOR_SPTR","ENCT_YMD","DCSD_CNT","INJPSN_CNT","DAM_HSTRY_IDX","CST_BNTS_VL","PLCY_VL","CNTNC_VL","PREP_VL","BSC_PLAN_YN","MTN_ADDR_YN","MNLNO","SUBLOTNO","DADDR","ROAD_NM_ADDR_CD","RONA_DADDR","STDG_CD","USE_YN","TMPR_STDG_CD"
"재해위험지구관리번호","재해위험지구명","재해위험지구등급코드","재해위험지구유형코드","재해위험지구상세유형코드","재해위험지구지역코드","재해위험지구번지","부처코드","부처명","시설명","시설물등급코드","시설물등급명","재해수계코드","수계명","지정일자","지정사유","해제일자","해제사유","피해주기","피해일자강우량","피해시간강우량","추진사항코드","작성자소속직급내용","확인자소속직급내용","시설관리기관명","관리책임자소속직급내용","관리주민직급명","최종수정일시","신청여부","지정면적","신청연도","신청일자","거주세대수","거주인원수","기본계획명","수립일자","행위제한조례구분자","제정일자","사망자수","부상자수","피해이력지수","비용편익값","정책값","지속값","준비값","기본계획여부","산주소여부","주지번","부지번","상세주소","도로명주소코드","도로명상세주소","법정동코드","사용여부","임시법정동코드"
"468902000002","이포지구","1","001","해수침수","1285000000","","","","노화이포침수지구","050","기타","-1","","20000305","해수의 범람으로 인한 만조시 물양장 및 주택침수","20170817","사업 완료에 따른 해제","1","0","0","4","안전건설과 시설7급","안전건설과 시설6급","노화읍사무소","노화읍 시설6급","","2026/06/17 16:36:19.000000000","0","30000","2003","20030310","64","123","","","02","20110310","0","0","0","0","","","","N","0","896","1","","4689025621108960001032954","","4689025621","Y","4689025621"
"468002004002","배산지구","3","005","외수","1277000000","일원","","","배산천","012","지방1급하천","-1","","20040401","매년 홍수시 제방범람으로 농경지 침관수 및 인근주택 침수","20171030","2014. 6. 25. ~ 2017. 10. 30. / 배산천 생태하천조성사업 준공","1","80","50","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","장동면 배산리 이장","2026/05/18 15:57:54.000000000","0","380000","","20151102","0","0","","","00","","0","0","0","0","","","","N","0","504","","","","","4680033024","Y","4680033023"
"468002006001","오산지구","3","005","","1277000000","일원","","","오산천","013","지방2급하천","-1","","20060224","호우시 하천이 범람하여 피해발생","20231031","2021. 8. 27. ~ 2023. 10. 31. / 오산소하천 정비사업 준공","0","0","0","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","오산리 이장","2026/05/18 15:54:23.000000000","0","0","","20151104","0","0","소하천 정비 기본계획","20100902","00","","0","0","0","0","","","","Y","0","19","19","","","","4680025621","Y","4680025621"
"311102006003","학성","2","003","","3111051000","","005","국토교통부","학성배수장","010","지방관리","","","20050901","노후시설","20150316","배수로 및 배수장 정비완료","0","0","0","4","안전총괄과","안전총괄과","","안전총괄과","","2016/11/09 10:26:34.000000000","0","","","","","","","","","","","","","","","","","","0","471","","","","울산광역시 중구  옥교로  90   (학성동)","3111010100","Y","3111010100"
"311102006004","내황","2","003","","3111052000","","005","국토교통부","내황배수장","010","지방관리","","","20050901","노후시설","20101216","정비완료","0","0","0","4","재난안전관리과","재난안전관리과","","","","2013/06/14 09:18:39.000000000","","","","","","","","","","","","","","","","","","","0","401","24"," ",""," ","3111011800","Y","3111011800"
"311102006005","서원","2","003","","3111052000","","005","국토교통부","서원배수장","010","지방관리","","","20050901","노후시설","20091102","정비완료","0","0","0","4","재난안전관리과","재난안전관리과","","","","2013/06/14 09:18:47.000000000","","","","","","","","","","","","","","","","","","","0","288","4"," ",""," ","3111011800","Y","3111011800"
"311102006006","동동","2","003","","3111063000","","001","행정안전부","산전배수장","050","기타","","","20050901","시설물 노후 및 펌프용량 부족","20180116","","2008","78","0","4","안전총괄과 시설7급","안전총괄과 시설5급","안전총괄과","안전총괄과  공업8급","","2018/09/21 10:01:08.000000000","0","248","2005","20050817","600","2100","","20050901","02","20140428","0","0","0","0","","","","N","0","427","11","","","울산광역시 중구  산전2길  20   (동동)","3111011300","Y","3111011300"
"311102006007","복산","3","003","","3111052000","","005","국토교통부","복개구조물","050","기타","","","20050901","노후시설","20150316","노후시설 정비완료","0","0","0","4","안전총괄과","안전총괄과","","","","2015/04/06 11:42:14.000000000","","","","","","","","","","","","","","","","","","","0","401","26"," ",""," [지점번호:마마67662989]","3111011800","Y","3111011800"
"311102006008","반구","1","001","","3111052000","","005","국토교통부","배수장설치","010","지방관리","","","20060313","시가지 침수","20101216","","0","0","0","4","재난안전관리과","재난안전관리과","","","","2013/06/14 09:19:14.000000000","","","","","","","","","","","","","","","","","","","0","100",""," ",""," ","3111011800","Y","3111011800"
"311102013009","중구 성남","1","003","","3111058000","","015","문화재청","성남육갑문","009","국가관리","11","태화강","20100506","취약방재시설","20120415","정비완료","","","","4","","","","","","2016/09/12 15:10:18.000000000","0","","","","","","","","","","","","","","","","","","0","219","190","","","울산광역시 중구  강북로  87   (성남동)","3111010600","Y","3111010600"
"411332013004","성남","2","001","","4113510700","","","","성남","013","지방2급하천","-1","","19960711","침수위험","20011006","정비사업 완료","","","","4","재난안전과  시설7","재난안전과 시설5","","","","2023/09/13 10:55:43.000000000","0","16080000","","","","","","","","","","","","","","","","","0","555","","탄천 일대","","","4113510700","Y","4113310100"
