"DST_RSK_DSTRCT_MNG_NO","DST_RSK_DSTRCT_NM","DST_RSK_DSTRCT_GRD_CD","DST_RSK_DSTRCT_TYPE_CD","DST_RSK_DSTRCT_DTL_TYPE_CD","DST_RSK_DSTRCT_RGN_CD","DST_RSK_DSTRCT_HONU","MAO_CD","MAOF_NM","FCLT_NM","FCLTY_GRD_CD","FCLTY_GRD_NM","DST_WASY_CD","WASY_NM","DSGN_YMD","DSGN_RSN","RMV_YMD","RMV_RSN","DAM_INTV","DAM_YMD_RNFL","DAM_HR_RNFL","PRPL_MTTR_CD","WRTR_OGDP_JBGD_CN","IDFR_OGDP_JBGD_CN","FCLT_MNG_INST_NM","MNG_RBPRSN_OGDP_JBGD_CN","MNG_CTZN_JBGD_NM","LAST_MDFCN_DT","APLY_YN","DSGN_AREA","APLY_YR","APLY_YMD","HAB_NOHO","HAB_NOPE","BSC_PLAN_NM","FNDG_YMD","ACT_LMT_MUOR_SPTR","ENCT_YMD","DCSD_CNT","INJPSN_CNT","DAM_HSTRY_IDX","CST_BNTS_VL","PLCY_VL","CNTNC_VL","PREP_VL","BSC_PLAN_YN","MTN_ADDR_YN","MNLNO","SUBLOTNO","DADDR","ROAD_NM_ADDR_CD","RONA_DADDR","STDG_CD","USE_YN","TMPR_STDG_CD"
"재해위험지구관리번호","재해위험지구명","재해위험지구등급코드","재해위험지구유형코드","재해위험지구상세유형코드","재해위험지구지역코드","재해위험지구번지","부처코드","부처명","시설명","시설물등급코드","시설물등급명","재해수계코드","수계명","지정일자","지정사유","해제일자","해제사유","피해주기","피해일자강우량","피해시간강우량","추진사항코드","작성자소속직급내용","확인자소속직급내용","시설관리기관명","관리책임자소속직급내용","관리주민직급명","최종수정일시","신청여부","지정면적","신청연도","신청일자","거주세대수","거주인원수","기본계획명","수립일자","행위제한조례구분자","제정일자","사망자수","부상자수","피해이력지수","비용편익값","정책값","지속값","준비값","기본계획여부","산주소여부","주지번","부지번","상세주소","도로명주소코드","도로명상세주소","법정동코드","사용여부","임시법정동코드"
"468002006004","연정지구","3","001","유실위험","1277000000","","","","대덕천","012","지방1급하천","-1","","20001026","호우시 하천이 범람하여 피해발생","20060224","공사 준공으로 인한 침수 위험해소","0","0","0","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","산정이장","2026/04/20 16:06:56.000000000","0","0","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","409","0","","4680025621104090000000001","","4680025621","Y","4680025622"
"468002006006","원등지구","2","001","침수위험","1277000000","","","","원등천","013","지방2급하천","-1","","20060224","하천이 협소하여 호우시 취락지역 피해발생","20110110","재해위험지구 정비사업에 따른 재해위험해소","0","0","0","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","덕암이장","2026/07/23 09:52:12.000000000","0","0","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","198","","","","","4680031031","Y","4680031032"
"468002009010","수문지구","3","001","","1277000000","","","","군도","004","군도","-1","","19960617","해일(폭풍, 지진)","20060224","","0","0","0","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","수문이장","2026/04/03 10:09:46.000000000","0","0","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","41","","","","전라남도 장흥군 안양면 수문용곡로  256-11   ","4680032031","Y","4680032031"
"468002013020","금자지구","2","001","","1277000000","일원","","","금자천","012","지방1급하천","12","탐진강","20060220","하천범람","","","3","200","50","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","부산면금장리 이장","2026/05/18 15:32:45.000000000","0","0","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","49","1","","","","4680036026","Y","4680036026"
"468002013021","평화지구","2","001","","1277000000","일원","","","평화천","012","지방1급하천","12","탐진강","20100216","하천범람","20171108","준공으로 인한 침수위험 해소","2","200","50","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","평화리 이장","2026/07/23 09:56:28.000000000","0","664000","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","160","54","일원",""," [지점번호:다라45453019]","4680025035","Y","4680025035"
"468002013023","평촌지구","3","005","","1277000000","평촌리","","","평촌천","012","지방1급하천","12","탐진강","20060224","하천범람으로 침수피해 상존","20180626"," 2016. 6. 27. ~ 2018. 6. 26. / 평촌천 자연재해위험개선지구정비사업 준공","3","250","60","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","평촌리 이장","2026/05/18 16:05:08.000000000","0","340000","2014","20151102","12","31","평촌천지방하천","20151222","02","20110217","0","0","250000","2","","","","Y","0","675","","","","","4680025622","Y","4680025622"
"468002013024","남송지구","3","001","","1277000000","일원","","","석남천","012","지방1급하천","12","탐진강","19960617","하천범람으로 침수피해 상존","20060224","","3","250","60","4","재난안전과 시설8급","재난안전과 시설6급","건설과","재난안전과 시설8급","연지리 이장","2026/05/18 15:30:11.000000000","0","0","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","678","","","","","4680025321","Y","4680025321"
"468002013026","어은지구","3","005","","1277000000","일원","","","어은천","013","지방2급하천","12","탐진강","20060224","하천범람으로 침수피해 상존","","","2","200","50","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","어은이 이장","2026/05/18 15:27:48.000000000","0","0","","20151102","0","0","","","00","","0","0","0","0","","","","N","0","153","","","","","4680025333","Y","4680025333"
"468002013027","운월지구","3","005","","1277000000","일원","","","운월천","012","지방1급하천","12","탐진강","20060204","하천범람으로 침수피해 상존","","","2","200","50","1","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","운월리 이장","2026/05/18 15:28:41.000000000","0","0","","20151104","0","0","","20130118","00","","0","0","0","0","","","","Y","0","423","","","","","4680035034","Y","4680035034"
"468002013028","석교지구","3","003","","1277000000","","","","-","010","지방관리","-1","","19981210","-","20011218","-","0","0","0","4","재난안전과 시설8급","재난안전과 시설6급","건설과","재난안전과 시설8급","북교이장","2026/04/20 16:07:36.000000000","0","0","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","545","","","","","4680033025","Y","4680033025"
"467302000001","양정지구","2","001","내수배제곤란","1273025000","","001","행정안전부","양정지구","010","지방관리","5","섬진강","20000704","집중호우시 내수배제곤란으로 상습 침수피해지구","20121230","","3","200","40","4","구례군청 건설방재과","구례군청 건설방재과","구례군","구례읍사무소","양정리장","2016/07/13 10:52:29.000000000","0","0","","20151112","0","0","","","00","","0","0","0","0","","","","N","0","9","70","",""," [지점번호:다라98408979]","4673025026","Y","4673025026"
"467302009002","냉천지구","2","001","","1273034000","","001","행정안전부","냉천재해위험지구","010","지방관리","5","섬진강","20000704","침수위험","20041231","정비완료","0","0","0","4","건설방재과","건설방재과","","마산면","","2016/07/13 10:52:24.000000000","0","0","","20151112","0","0","","","00","","0","0","0","0","","","","N","0","12","","",""," [지점번호:다라98869153]","4673034026","Y","4673034026"
"457402004005","용추","2","001","단면부족","5274025000","","001","행정안전부","용추천","013","지방2급하천","3","금강","20020828","미개수하천으로 집중호우 발생시 재해위험 상존","20130715","위험지구정비완료","0","100","60","4","재난안전과 시설6급","재난안전과 시설5급","장수군청","장수읍장","장수읍 송천리 이장","2018/10/17 10:45:13.000000000","0","3000","","20151030","19","41","","","00","","0","0","0","0","","","","N","0","193","","",""," [지점번호:라마00823792]","5274025030","Y","4574025030"
"457402004006","지지","2","001","단면부족","5274032000","","001","행정안전부","백운천","013","지방2급하천","5","섬진강","20010202","미개수하천으로 집중호우 발생시 재해위험 상존","20160718","위험지구정비완료","0","90","55","4","안전재난과 시설6급","안전재난과 시설5급","장수군청","번암면장","장수군 번암면 죽림","2018/10/17 10:37:47.000000000","0","2000","","20151030","28","49","","","00","","0","0","0","0","","","","N","0","654","1","",""," [지점번호:라마03982658]","5274032027","Y","4574032027"
"457402006001","무농","1","001","하천","5274033500","","001","행정안전부","라치천","013","지방2급하천","3","금강","20060406","기본하폭 협소로 인한 재해위험요인상존, 집중호우로인한 농경지침수","20130715","위험지구 정비완료","3","90","55","4","재난안전과 시설6급","재난안전과 시설5급","장수군청","장계면장","마을리장","2018/10/17 10:42:47.000000000","0","4600","","20151030","23","52","","","00","","0","0","0","0","","","","N","0","433","4","",""," [지점번호:라마06894922]","5274033523","Y","4574033523"
"457402009007","노곡","1","001","단면부족","5274025000","","001","행정안전부","장수천","013","지방2급하천","3","금강","20080103","미개수하천으로 하천폭 부족으로 인한 호우 발생시 재해위험 상존","20160718","위험지구정비완료","10","80","50","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","장수읍장","노곡리 이장","2018/10/17 10:44:29.000000000","0","2000","","20151030","21","58","","","00","","0","0","0","0","","","","N","0","1934","","",""," [지점번호:라마02983943]","5274025024","Y","4574025024"
"412812013001","현천지구","3","001","소하천","4128167000","","001","행정안전부","배수펌프장","013","지방2급하천","1","한강","19950501","내수침수","19981026","배수펌프장 증설공사 완료","0","0","0","4","시민안전과","시민안전과","고양시청","시민안전과","","2016/02/26 20:08:48.000000000","","0","","20151103","0","0"," ","","02","20061212","0","0","0","0","","","","N","0","534","1"," ","","경기도 고양시 덕양구  해포길  170   (현천동)","4128113000","N","4128113000"
"412812013002","성사지구","3","001","하천","4128165000","","005","국토교통부","배수펌프장","013","지방2급하천","1","한강","19990914","통수능력 부족","20021125","배수펌프장 증설 등 통수능력 확보","0","0","0","4","시민안전과","시민안전과","고양시청 시민안전과","시민안전과","","2016/02/26 20:05:13.000000000","","0","","20151103","0","0"," ","","02","20061212","0","0","0","0","","","","N","0","290","2"," ",""," [지점번호:다사41995562]","4128112400","N","4128112400"
"412812013003","신평배수펌프장지구","3","001","배수펌프장","4128161000","","","","신평배수펌프장","013","지방2급하천","1","한강","20131105","펌프장 능력부족으로 인한 침수","20240409","정비사업완료에 따른 위험요인 해소","5","127","0","4","고양시 재난대응담당관 시설7급","고양시 재난대응담당관 시설5급","고양시 재난대응담당관","고양시 재난대응담당관 시설7급","","2024/04/17 16:19:48.000000000","0","43000","","20151030","73","270","고양시 소하천정비종합계획 수립","","02","20061212","0","0","224153","1","","","","N","0","25","2","","","경기도 고양시 덕양구  신평길  107   (신평동)","4128112700","Y","4128112700"
"412832000001","송포지구","3","001","하천","4128759000","","005","국토교통부","배수펌프장. 장월평천","013","지방2급하천","1","한강","19990810","장월평천은 하상경사도가 낮아 상습침수","20110318","하천공사 및 펌프장 증설공사 완료","4","80","30","4","시민안전과","시민안전과","","일산서구 환경녹지과","","2015/11/03 13:21:57.000000000","","0","","20151103","0","0"," ","","02","20061212","0","0","0","0","","","","N","0","503",""," ",""," ","4128710500","N","4128710500"
"311702006001","방어진","3","002","절개지","3117051000","","005","국토교통부","방어진순환도로 절개지","003","시도","19","기타","20031028","낙석 및 토사유출","20060508","정비완료","0","0","0","4","울산광역시 종합건설본부","울산광역시 종합건설본부","종합건설본부","","","2013/06/14 09:37:41.000000000","","","","","","","","","","","","","","","","","","","0","1255",""," ",""," [지점번호:마마72132630]","3117010100","Y","3117010100"
"412202000002","지제지구","2","001","주택 농경지","4122053500","","005","국토교통부","도일천","013","지방2급하천","","","20000926","내수침수","20100114","정비완료","1","100","50","4","평택시청 하천관리팀","평택시청 하천관리팀","","평택시청 하수과","","2017/09/14 10:55:21.000000000","0","289300","","","","","","","","","","","","","","","","","0","1","","","","","4122010300","N","4122010300"
"412202013003","노양지구","2","001","","4122025000","","005","국토교통부","둔포천","013","지방2급하천","","","20000926","내수침수","20050216","","","","","4","","","","","","2017/09/14 10:57:22.000000000","0","51000","","","","","","","","","","","","","","","","","0","1","","","","경기도 평택시 팽성읍 계성새싹길  85    ","4122025036","N","4122025036"
"412202013004","통복지구","2","001","","4122060000","","005","국토교통부","통복천","013","지방2급하천","-1","","19960719","내수침수","20040817","","","","","4","","","","","","2019/03/19 17:30:33.000000000","0","55000","","","","","","","","","","","","","","","","","0","1","","",""," [지점번호:다바63498948]","4122011400","N","4122011400"
"312002000001","양정","1","001","","3120058000","염포로","005","국토교통부","배수로","003","시도","","","20060310","집중호우로 인하여 상습적인 도로침수","20110328","","0","0","0","4","북구청 건설과","북구청 건설과","시 종합건설본부","종합건설본부","","2015/10/26 19:40:08.000000000","","0","","20151026","0","0"," ","","00","","0","0","0","0","","","","N","0","598","","염포로",""," ","3120012400","Y","3120012400"
"413102011001","아천지구","3","001","내수침수","4131054100","","001","행정안전부","펌프장, 유입수로","010","지방관리","1","한강","20010130","집중호우시 상습침수피해 발생","20050112","침수피해요인 해소","0","0","0","4","시설7급","시설6급","구리시청","시설7급","","2015/11/03 14:17:25.000000000","","0","","20151102","0","0"," ","","00","","0","0","0","0","","","","N","0","110","4"," ",""," [지점번호:다사66755261]","4131010600","Y","4131010600"
"312002004001","성은아파트","3","002","산사태위험지","3120056000","","004","산림청","성은아파트","016","사유림","","","20030612","사면슬라이딩 현상이 심각하게 진행되고 있음","20060320","정비사업완료에따른 재해위험지구 해제","0","0","0","4","울산광역시 북구청 건설과","울산광역시 북구청 건설과","울산광역시 북구청","농림수산과 임업7급","","2015/10/26 19:38:50.000000000","","0","","20151026","0","0"," ","","00","","0","0","0","0","","","","N","0","282","1"," ",""," ","3120012200","Y","3120012200"
"312002004002","효문,연암","2","001","상습침수위험","3120056000","","005","국토교통부","효문동일원(7호국도변)","001","국도","","","20030410","기존 배수로는 배수처리가 되지 않아 상습침수","20050801","재해위험지구 해소사업인 배수관부설사업 완료","0","0","0","4","울산광역시 북구 건설과","울산광역시 북구 건설과","울산광역시 종합건설본부","울산광역시 종합건설본부","","2015/10/26 19:36:19.000000000","","0","","20151026","0","0"," ","","00","","0","0","0","0","","","","N","0","1",""," ",""," [지점번호:마마71023213]","3120012300","Y","3120012300"
"477502010007","창양(눌인천)","2","001","","4775033000","","001","행정안전부","제방","013","지방2급하천","2","낙동강","20100528","침수위험지구","20121231","정비사업완료","","","","4","건설재난관리과 시설","","","건설재난관리과 시설","","2013/05/31 09:10:14.000000000","","","","","","","","","","","","","","","","","","","0","1",""," ",""," [지점번호:마바36521279]","4775033033","Y","4775033033"
"477502010008","모계","1","005","","4775000000","","","","모계 재해위험개선지구","013","지방2급하천","2","낙동강","20220105","- 상류부 보다 하류부의 하폭이 좁고, 제방고 및 여유고 부족으로 인한 제방월류로 인한 농경지, 가옥의 유실 위험이 높음","","","0","0","0","2","건설새마을과","","청송군","건설새마을과","","2025/09/19 14:50:58.000000000","0","121721","2022","20220105","50","135","길안천 하천기본계획","19960823","02","20070504","0","0","0","0","","","","Y","0","1","","","","","4775034041","Y","4775034041"
"477502010009","신흥(신흥천)","2","001","","4775000000","","","","신흥 재해위험개선지구","013","지방2급하천","2","낙동강","20201123","- 신흥 자연재해위험개선지구는 기 자연재해저감종합계획에 반영된 지구(하천재해 1개소)
- 하천과 인접하여 취락지구가 위치, 인명피해 발생 가능성 높음 ","","","0","0","0","1","건설새마을과","","청송군","건설새마을과","","2025/09/19 14:51:23.000000000","0","191000","","20201123","5","20","","","02","20070504","0","0","0","0","","","","N","0","1","","","","","4775036035","Y","4775036035"
"477502010010","명당(보현천)","2","001","","4775035000","","001","행정안전부","제방, 교량","013","지방2급하천","2","낙동강","20101103","침수위험지구","20121231","","","","","4","건설재난관리과","","청송군청","건설재난관리과","","2013/06/12 16:20:41.000000000","","","","","","","","","","","","","","","","","","","0","1",""," ",""," [지점번호:마바32271348]","4775035033","Y","4775035033"
"477502010012","항리(가천)","3","004","","4775031000","","001","행정안전부","교량","013","지방2급하천","2","낙동강","20100528","고립위험지구","20161227"," - 정비사업 완료","0","0","0","4","안전재난건설과","","","안전재난건설과","","2017/02/24 12:07:47.000000000","0","60000","","20151103","5","15","가천 하천기본계획","20141201","02","20070504","0","0","0","0","","","","Y","0","1","","","","","4775031040","Y","4775031040"
"477502010013","내룡(내룡천)","3","004","","4775031000","","001","행정안전부","교량","042","군천","2","낙동강","20100528","고립위험지구","20121231","정비사업 완료","","","","4","건설과 행정8","","","건설과 행정8","","2013/05/31 09:11:48.000000000","","","","","","","","","","","","","","","","","","","0","1",""," ",""," [지점번호:마바54761469]","4775031038","Y","4775031038"
"477502012014","눌인(눌인천)","2","001","침수위험","4775033000","","001","행정안전부","지방하천","013","지방2급하천","2","낙동강","20120404","재해취약시설","20191203","","0","0","0","4","","","청송군청","안전재난건설과","시설7","2020/06/14 10:50:00.000000000","0","466000","","","","","","","","","","","","","","","","","0","1","","",""," [지점번호:마바40850580]","4775033030","Y","4775033030"
"477502012015","노부(노부천)","2","001","","4775032000","","001","행정안전부","지방하천(노부천)","013","지방2급하천","2","낙동강","20120404","침수위험지구","","","0","0","0","4","안전재난건설과","","","안전재난건설과","","2021/06/04 11:56:51.000000000","0","222000","2012","20120404","68","112","","","02","20070504","0","0","0","0","","","","N","0","1","","","","","4775032034","Y","4775032034"
"472802001003","하괴","3","001","침수","4728025300","","005","국토교통부","양산천","013","지방2급하천","-1","","20010430","저지대 상습침수","20060118","위험지구구간 사업완료로 위험요인 해소","5","250","100","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","가은읍 시설5급","","2020/06/08 11:19:56.000000000","0","10000","","20151105","0","0","","","00","","0","0","0","0","","","","N","0","1","","",""," [지점번호:라바49635206]","4728025334","Y","4728025334"
"472802004001","신현지구","3","001","","4728036000","","005","국토교통부","조령천","010","지방관리","2","낙동강","19990424","상습침수","20130814","공사완료","5","250","100","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","마성면 행정5급","","2020/06/08 11:17:57.000000000","0","105000","","20151105","0","0","","","00","","0","0","0","0","","","","N","0","100","","",""," [지점번호:라바56255171]","4728036025","Y","4728036025"
"472802006001","공평지구","3","001","침수위험","4728060000","","001","행정안전부","공평소하천","050","기타","2","낙동강","20060228","중부내륙고속도로 및 국도4차선 개통에 따른 홍수도달시간 극대화","20130814","정비사업완료로 인한 위험요인해소","0","250","100","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","점촌4동 행정7급","","2020/06/08 11:14:52.000000000","0","1340000","","20151105","0","0","","","00","","0","0","0","0","","","","N","0","1","","",""," [지점번호:라바61794590]","4728010900","Y","4728010900"
"472802007001","상하리지구","1","003","","4728025000","","001","행정안전부","상하리천","050","기타","-1","","20070420","취약 방재 시설","","","0","0","0","3","안전재난과 시설6급","안전재난과 시설5급","문경시 안전재난과","문경읍 행정5급","","2021/06/02 17:26:22.000000000","0","50000","2007","20070420","1116","2896","","","02","20131014","0","0","0","0","","","","Y","0","1","","",""," [지점번호:라바54006173]","4728025021","Y","4728025021"
"472802007002","지곡지구","2","003","","4728025000","","001","행정안전부","지곡천","050","기타","-1","","20070420","취약방재시설","","","0","0","0","1","안전재난과 시설6급","안전재난과 시설5급","안전재난과","문경읍 행정5급","","2020/06/08 11:12:07.000000000","0","40000","2007","20151102","0","0","","","02","20131014","0","0","0","0","","","","Y","0","1","","",""," [지점번호:라바56016131]","4728025025","Y","4728025025"
"472802007003","영산지구","2","003","","4728025000","","001","행정안전부","영산천","050","기타","-1","","20070420","취약 방재 시설","20130814","정비사업완료로 인한 재해위험요인 해소","0","0","0","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","안전재난과 행정5급","","2020/06/08 11:11:11.000000000","0","50000","","20151105","0","0","","","00","","0","0","0","0","","","","N","0","1","","",""," [지점번호:라바57756125]","4728025032","Y","4728025032"
"472802007004","성유지구","2","003","","4728025300","","001","행정안전부","성유천","050","기타","-1","","20070420","취약방재시설","","","0","0","0","1","안전재난과 시설6급","안전재난과 시설5급","안전재난과","가은읍 시설5급","","2020/06/08 11:08:18.000000000","0","70000","2007","20151102","0","0","","","02","20131014","0","0","0","0","","","","Y","0","100","1","","","","4728025329","Y","4728025329"
"472802007005","전곡1","3","005","","4728025300","","001","행정안전부","전곡1세월교","050","기타","-1","","20070420","유실 위험","20130814","정비사업완료로 인한 위험요인해소","0","0","0","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","가은읍 시설5급","","2020/06/08 11:06:15.000000000","0","420000","2007","20151102","0","0","","20131014","02","","0","0","0","0","","","","N","0","1","","","","","4728025328","Y","4728025328"
"472802007006","전곡2","3","005","","4728025300","","001","행정안전부","전곡2세월교","048","소교량","-1","","20070420","유실 위험","20130814","정비사업완료로 인한 위험요인해소","0","0","0","4","안전재난과 시설6","안전재난과 시설5","안전재난과","가은읍 시설5급","","2020/06/08 11:04:54.000000000","0","270000","2007","20151102","0","0","","","02","20131014","0","0","0","0","","","","N","0","2","","",""," [지점번호:라바47784657]","4728025328","Y","4728025328"
"472802007007","호암지구","1","003","","4728034000","","005","국토교통부","대하리천","013","지방2급하천","-1","","20070420","취약방재시설","20130814","정비사업완료로 인한 위험요인해소","0","0","0","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","안전재난과 행정5급","","2020/06/08 11:02:20.000000000","0","600000","","20151105","0","0","","","00","","0","0","0","0","","","","N","0","100","","",""," [지점번호:라바68535292]","4728034023","Y","4728034023"
"472802007008","약석","2","003","","4728034000","","001","행정안전부","약산천","050","기타","-1","","20070420","취약방재시설","20090410","하천정비완료","0","0","0","4","안전재난과 시설6","안전재난과 시설5급","안전재난과","산북면 행정5급","","2020/06/08 10:59:54.000000000","0","300000","","20151105","0","0","","","00","","0","0","0","0","","","","N","0","288","1","","","","4728034036","Y","4728034036"
"472802007009","정리지구","2","003","","4728036000","","001","행정안전부","솥골천","050","기타","-1","","20070420","취약방재시설","","","0","0","0","3","안전재난과 시설6급","안전재난과 시설5급","안전재난과","마성면 행정5급","","2021/06/02 17:26:07.000000000","0","100000","2007","20070420","102","203","","","02","20131014","0","0","0","0","","","","Y","0","371","0","","","경상북도 문경시 마성면 정리1길  12    ","4728036022","Y","4728036022"
"472802012024","현리지구","2","005","","4728032000","","001","행정안전부","현리교","050","기타","-1","","20100526","통수단면 부족으로 인한 유실위험","20170427","","0","0","0","4","안전재난과 시설6급","안전재난과 시설5급","안전재난과","산양면 시설5급","","2020/06/08 10:25:04.000000000","0","30000","2010","20100526","51","90","","","02","20131014","0","0","0","0","","","","Y","0","392","6","",""," [지점번호:라바67474903]","4728032022","Y","4728032022"
"471302002001","구길지구","2","001","외수침수","4713000000","","","","대종천","013","지방2급하천","19","기타","20000327","홍수시 농경지 200ha의 침수, 교통두절등 상습적 침수","20120213","","2","300","70","4","안전정책과 방재팀장","안전정책과장","경주시청","양북면장","","2023/04/12 10:50:27.000000000","0","1","","","","","","","","","","","","","","","","","0","1","1","","","","4713031526","Y","4713031026"
"471302002003","신기지구","3","001","내수침수","4713025900","","001","행정안전부","입실천","013","지방2급하천","11","태화강","20000327","지방2급하천 입실천 신기지구는 미개수된 지역으로 홍수시 수위상승","20070202","하천개수완료","2","200","50","4","안전정책과 방재팀장","안전정책과장","경주시청","외동읍장","","2018/02/19 14:00:11.000000000","0","1","","","","","","","","","","","","","","","","","0","1","1","","","","4713025921","Y","4713025921"
"471302002004","오류지구","2","001","내수침수","4713036000","","001","행정안전부","소현천 소현지구","013","지방2급하천","19","기타","20000327","인근농토 100ha유실피해 및 인가 15동 상습침수지구","20060313","하천개수완료","2","200","50","4","안전정책과 방재팀장","안전정책과장","경주시청","현곡면장","","2018/02/19 14:02:32.000000000","0","1","","","","","","","","","","","","","","","","","0","496","1","",""," [지점번호:마마52976524]","4713036027","Y","4713036027"
