"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"2614000000","22902","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:11","2023/01/02 23:04:02","2014"
"2617000000","19493","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:11","2023/01/02 23:04:02","2014"
"2620000000","25637","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:12","2023/01/02 23:04:02","2014"
"2623000000","56777","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:13","2023/01/02 23:04:02","2014"
"2626000000","37045","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:13","2023/01/02 23:04:02","2014"
"2629000000","42392","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:14","2023/01/02 23:04:02","2014"
"2632000000","34057","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:15","2023/01/02 23:04:02","2014"
"2635000000","51970","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:17","2023/01/02 23:04:02","2014"
"2638000000","42209","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:17","2023/01/02 23:04:02","2014"
"2641000000","36090","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:18","2023/01/02 23:04:02","2014"
"2644000000","10593","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:19","2023/01/02 23:04:02","2014"
"2647000000","29397","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:19","2023/01/02 23:04:02","2014"
"2650000000","28266","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:20","2023/01/02 23:04:02","2014"
"2653000000","27712","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:21","2023/01/02 23:04:02","2014"
