"MNG_NO","RGN_CD","STDG_CD","DONG_CD","INSTL_DT","PRDCT_FBCTN_BZENTY","INSTL_BZENTY","WHOL_HGT","FBRC_NM","YR","LOT","LAT","OPEN_DMRS","SHLT_TYPE_CD","USE_YN","FCLT_KND_SE_CD","AREA","LEN","ATPSR","INJQTY","TIME_JET_HR","ADDR"
"관리번호","지역코드","법정동코드","행정동코드","설치일시","제품제작업체","설치업체","전체높이","원단명","연도","경도","위도","펼침지름","그늘막유형코드","사용여부","시설종류구분코드","면적","길이","분사압","분사량","1회분사시간","주소"
"1","4213000000","4213011200","4213062000","20180914","","","0","","2023","127.9479155","37.3802394","0","1","Y","1","0","0","0","0","0","강원도 원주시 태장동  1266-12"
"1","4215000000","4215025021","4215025000","20190501","","신우","3","메쉬","2023","128.8245","37.78342","3","1","Y","1","0","0","0","0","0","강원도 강릉시 주문진읍 주문리 337-11"
"1","4217000000","4217010700","4217053000","20190801","(주)젠텍","한길안전","3.5","매쉬","2023","129.1016075","37.4901401","5","1","Y","1","0","0","0","0","0","강원도 동해시 동회동  363-5"
"1","4221000000","4221010600","4221056000","20190711","본네이처","본네이처","3.7","메쉬","2023","128.5797479","38.2003659","3.5","1","Y","1","0","0","0","0","0","강원도 속초시 교동  657-2"
"1","4223000000","4223011800","4223057000","20181005","주식회사 호산","주식회사 호산","3.5","폴리에스터","2023","129.151695","37.438869","5","1","Y","1","0","0","0","0","0","강원도 삼척시 원당동  80-1"
"1","4272000000","4272025023","4272025000","20180806","","","0","","2023","127.8803","37.6886384","0","1","Y","1","0","0","0","0","0","강원도 홍천군 홍천읍 희망리 362-4"
"1","4273000000","4273038021","4273038000","20190726","메탈크래프트","메탈크래프트","3.7","메쉬","2023","128.111501","37.381293","4","1","Y","1","0","0","0","0","0","강원도 횡성군 강림면 강림리 1538"
"1","4276000000","4276025023","4276025000","20190806","메탈크래프트코리아(주)","메탈크래프트코리아(주)","3.7","메쉬","2023","128.3941321","37.3678395","3","1","Y","1","0","0","0","0","0","강원도 평창군 평창읍 하리 73-3"
"1","4277000000","4277025021","4277025000","20190723","(주)대상디자인","(주)대상디자인","3","","2023","128.6666819","37.3817591","4","2","Y","1","0","0","0","0","0","강원도 정선군 정선읍 봉양리 378-2"
"1","4278000000","4278025621","4278025600","20200921","","","0","","2023","127.3108749","38.1456674","0","2","Y","1","0","0","0","0","0","강원도 철원군 갈말읍 신철원리 621"
"1","4281000000","4281025021","4281025000","20200921","(주)대상디자인","(주)대상디자인","3","차양막(천)","2023","128.1710211","38.0686423","4.4","2","Y","1","0","0","0","0","0","강원도 인제군 인제읍 상동리 345-3"
"1","4282000000","4282025021","4282025000","20220808","(주)대상디자인","(주)대상디자인","3","구직포","2023","128.4673","38.37956","4.4","2","Y","1","0","0","0","0","0","강원도 고성군 간성읍 하리 16-12"
"1","4283000000","4283025036","4283025000","20200724","대상디자인","대상디자인","0","","2023","128.3706","38.043341","0","2","Y","1","0","0","0","0","0","강원도 양양군 양양읍 내곡리 166-11"
"1","4413000000","4413310700","4413353000","20190730","메탈크래프트","메탈크래프트","3","메쉬","2025","127.1267878","36.8000051","3","1","Y","001","","","","","","충청남도 천안시 서북구 쌍용동 1239 도솔한방병원 앞 교통섬"
"1","4415000000","4415012000","4415057000","20170810","메탈크래프트","상원피앤씨","3","메쉬","2023","127.1279178","36.4705658","5","1","Y","001","","","","","","충청남도 공주시 신관동 621 전막교차로 교통섬 계룡산 알밤 앞"
"1","4418000000","4418010600","4418054500","20191214","","","3","매쉬","2023","126.5905596","36.3435614","5","1","Y","001","","","","","","충청남도 보령시 궁촌동 360 남대천교 사거리 1"
